Variable,Label,Question,Question Text,Type,Response Type,Codes,Value Labels,Page,Section,Derived,Hidden,Row,Column,Option,Notes
ACTIVITY_a4,Q28 — Mobile banking,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a4,,,
ACTIVITY_a5,Q28 — Video calls,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a5,,,
ACTIVITY_a6,Q28 — Gaming,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a6,,,
ACTIVITY_a7,Q28 — Social media,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a7,,,
ACTIVITY_a8,Q28 — Smart-home control,Q28,How often do you do each of the following?,numeric,matrix_single,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_tech_usage,,,,a8,,,
APPS_1,Q29 — Banking,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,1,
APPS_2,Q29 — Payments,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,2,
APPS_3,Q29 — Shopping,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,3,
APPS_4,Q29 — Food delivery,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,4,
APPS_5,Q29 — Ride hailing,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,5,
APPS_6,Q29 — Fitness,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,6,
APPS_7,Q29 — Meditation,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,7,
APPS_8,Q29 — Streaming video,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,8,
APPS_9,Q29 — Music,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,9,
APPS_10,Q29 — Podcasts,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,10,
APPS_11,Q29 — News,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,11,
APPS_12,Q29 — Dating,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,12,
APPS_13,Q29 — Travel,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,13,
APPS_14,Q29 — Productivity,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,14,
APPS_15,Q29 — Cloud storage,Q29,Which of these app categories have you used in the past month?,numeric,multi_dropdown,"0,1",0=Not selected; 1=Selected,p_tech_usage,,,,,,15,
FORM_FACTOR,Which phone form factor appeals to you most?,Q30,Which phone form factor appeals to you most?,numeric,image_select,"slab,fold,flip,compact",slab=Classic slab; fold=Foldable; flip=Flip; compact=Compact,p_tech_usage,,,,,,,
PRIORITY_RANK_1,Q31 — rank of Price,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,1,
PRIORITY_RANK_2,Q31 — rank of Battery life,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,2,
PRIORITY_RANK_3,Q31 — rank of Camera,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,3,
PRIORITY_RANK_4,Q31 — rank of Performance,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,4,
PRIORITY_RANK_5,Q31 — rank of Design,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,5,
PRIORITY_RANK_6,Q31 — rank of Brand,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,6,
PRIORITY_RANK_7,Q31 — rank of Sustainability,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,7,
PRIORITY_RANK_8,Q31 — rank of Privacy,Q31,Rank your top 3 priorities when choosing a new device.,numeric,ranking,,,p_tech_priorities,,,,,,8,
NPS_DEVICE,How likely are you to recommend your main device to a friend or colleague?,Q32,How likely are you to recommend your main device to a friend or colleague?,numeric,nps,,,p_tech_priorities,,,,,,,
MONTHLY_SPEND,"Roughly how much do you spend per month on technology (devices, apps, subscriptions)?",Q33,"Roughly how much do you spend per month on technology (devices, apps, subscriptions)?",numeric,numeric,,,p_tech_spend,,,,,,,
SUB_SPEND,"Of that, how much goes on subscriptions (streaming, cloud, software)?",Q34,"Of that, how much goes on subscriptions (streaming, cloud, software)?",numeric,numeric,,,p_tech_spend,,,,,,,
HW_SPEND,And how much goes on hardware (averaged per month)?,Q35,And how much goes on hardware (averaged per month)?,numeric,numeric,,,p_tech_spend,,,,,,,
SPEND_SPLIT_1,Q36 — Devices (%),Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,,,,,1,
SPEND_SPLIT_2,Q36 — Apps & software (%),Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,,,,,2,
SPEND_SPLIT_3,Q36 — Streaming & media (%),Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,,,,,3,
SPEND_SPLIT_4,Q36 — Cloud & storage (%),Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,,,,,4,
SPEND_SPLIT_5,Q36 — Accessories (%),Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,,,,,5,
SPEND_SPLIT_total,Q36 — total,Q36,What percentage of your technology spend goes to each category? (must total 100%),numeric,allocation,,,p_tech_spend,,Y,,,,,
PCT_ONLINE,What percentage of your technology purchases do you make online?,Q37,What percentage of your technology purchases do you make online?,numeric,numeric,,,p_tech_spend,,,,,,,
SPEND_12M_phone,Q38 — Phones,Q38,"Over the past 12 months, roughly how much did you spend on each of the following?",numeric,numeric_list,,,p_tech_spend_12m,,,,phone,,,
SPEND_12M_computer,Q38 — Laptops / computers,Q38,"Over the past 12 months, roughly how much did you spend on each of the following?",numeric,numeric_list,,,p_tech_spend_12m,,,,computer,,,
SPEND_12M_wearable,Q38 — Wearables,Q38,"Over the past 12 months, roughly how much did you spend on each of the following?",numeric,numeric_list,,,p_tech_spend_12m,,,,wearable,,,
SPEND_12M_accessory,Q38 — Accessories,Q38,"Over the past 12 months, roughly how much did you spend on each of the following?",numeric,numeric_list,,,p_tech_spend_12m,,,,accessory,,,
BUDGET_NEXT,What is your total technology budget for the next 12 months?,Q39,What is your total technology budget for the next 12 months?,numeric,numeric,,,p_tech_spend_12m,,,,,,,
WATCH_SAT,How satisfied are you with your smartwatch or fitness tracker?,Q40,How satisfied are you with your smartwatch or fitness tracker?,numeric,single_select,"1,2,3,4,5",1=Very dissatisfied; 2=Dissatisfied; 3=Neutral; 4=Satisfied; 5=Very satisfied,p_tech_sat,,,,,,,
SMARTHOME_SAT,How satisfied are you with your smart-home setup overall?,Q41,How satisfied are you with your smart-home setup overall?,numeric,single_select,"1,2,3,4,5",1=Very dissatisfied; 2=Dissatisfied; 3=Neutral; 4=Satisfied; 5=Very satisfied,p_tech_sat,,,,,,,
INVEST_TYPES_1,Q42 — Stocks / shares,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,1,
INVEST_TYPES_2,Q42 — ETFs / index funds,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,2,
INVEST_TYPES_3,Q42 — Bonds,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,3,
INVEST_TYPES_4,Q42 — Cryptocurrency,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,4,
INVEST_TYPES_5,Q42 — Property,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,5,
INVEST_TYPES_6,Q42 — Pension / retirement account,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,6,
INVEST_TYPES_7,Q42 — Savings bonds,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,7,
INVEST_TYPES_98,Q42 — None,Q42,Which of these investments do you hold?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_tech_sat,,,,,,98,
CONSUMER_FOCUS,Which personal activity matters most to you when choosing technology?,Q43,Which personal activity matters most to you when choosing technology?,numeric,single_select,"1,2,3,4,5,6",1=Entertainment; 2=Staying in touch; 3=Health & fitness; 4=Learning; 5=Creativity; 6=Managing money,p_combined,,,,,,,
BUSINESS_FUNCTION,Which business function do you mainly use technology for?,Q44,Which business function do you mainly use technology for?,numeric,single_select,"1,2,3,4,5,6,7",1=Communication; 2=Data & analytics; 3=Sales & CRM; 4=Design & content; 5=Operations; 6=Finance; 7=IT / engineering,p_combined,,,,,,,
COMPANY_DEVICES,How many devices does your employer provide to you?,Q45,How many devices does your employer provide to you?,numeric,numeric,,,p_business,,,,,,,
WORK_LIFE_BLEND,How well do your personal and work technology fit together?,Q46,How well do your personal and work technology fit together?,numeric,single_select,"1,2,3,4",1=Very well — one seamless setup; 2=Reasonably well; 3=Poorly — I juggle separate tools; 4=I keep them deliberately separate,p_combined,,,,,,,
UNAIDED_b1,Q47 — Brand 1,Q47,Which technology brands come to mind first? List up to five.,text,text_list,,,p_brand_unaided,,,,b1,,,
UNAIDED_b2,Q47 — Brand 2,Q47,Which technology brands come to mind first? List up to five.,text,text_list,,,p_brand_unaided,,,,b2,,,
UNAIDED_b3,Q47 — Brand 3,Q47,Which technology brands come to mind first? List up to five.,text,text_list,,,p_brand_unaided,,,,b3,,,
UNAIDED_b4,Q47 — Brand 4,Q47,Which technology brands come to mind first? List up to five.,text,text_list,,,p_brand_unaided,,,,b4,,,
UNAIDED_b5,Q47 — Brand 5,Q47,Which technology brands come to mind first? List up to five.,text,text_list,,,p_brand_unaided,,,,b5,,,
BRANDS_AWARE_1,Q48 — Apple,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,1,
BRANDS_AWARE_2,Q48 — Samsung,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,2,
BRANDS_AWARE_3,Q48 — Google,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,3,
BRANDS_AWARE_4,Q48 — Xiaomi,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,4,
BRANDS_AWARE_5,Q48 — OnePlus,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,5,
BRANDS_AWARE_6,Q48 — Sony,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,6,
BRANDS_AWARE_7,Q48 — Microsoft,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,7,
BRANDS_AWARE_8,Q48 — Amazon,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,8,
BRANDS_AWARE_9,Q48 — Huawei,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,9,
BRANDS_AWARE_10,Q48 — Lenovo,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,10,
BRANDS_AWARE_11,Q48 — Dell,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,11,
BRANDS_AWARE_12,Q48 — LG,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,12,
BRANDS_AWARE_98,Q48 — None of these,Q48,Which of these technology brands have you heard of?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_aware,,,,,,98,
BRANDS_USED_1,Q49 — Apple,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,1,
BRANDS_USED_2,Q49 — Samsung,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,2,
BRANDS_USED_3,Q49 — Google,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,3,
BRANDS_USED_4,Q49 — Xiaomi,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,4,
BRANDS_USED_5,Q49 — OnePlus,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,5,
BRANDS_USED_6,Q49 — Sony,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,6,
BRANDS_USED_7,Q49 — Microsoft,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,7,
BRANDS_USED_8,Q49 — Amazon,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,8,
BRANDS_USED_9,Q49 — Huawei,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,9,
BRANDS_USED_10,Q49 — Lenovo,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,10,
BRANDS_USED_11,Q49 — Dell,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,11,
BRANDS_USED_12,Q49 — LG,Q49,Which of these brands have you personally used in the past 12 months?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_brand_used,,,,,,12,
FAV_BRAND,You said you have used …. Which is your favourite?,Q51,You said you have used …. Which is your favourite?,numeric,single_select,,,p_brand_fav,,,,,,,
